Date,Price,Open,High,Low,Vol.,Change %
2019-03-07,3875.10,3863.10,3907.40,3847.90,2.60M,0.32%
2019-03-08,3865.90,3875.10,3929.00,3810.70,2.96M,-0.24%
2019-03-09,3944.30,3865.60,3964.00,3859.70,2.48M,2.03%
2019-03-10,3915.20,3944.40,3944.50,3889.20,1.89M,-0.74%
2019-03-11,3870.30,3915.20,3935.50,3842.40,3.19M,-1.15%
2019-03-12,3886.00,3870.30,3900.10,3817.10,2.90M,0.41%
2019-03-13,3865.10,3885.90,3894.70,3847.40,2.28M,-0.54%
2019-03-14,3879.00,3865.10,3914.70,3828.40,2.86M,0.36%
2019-03-15,3924.30,3879.00,3935.70,3874.80,3.11M,1.17%
2019-03-16,4006.40,3924.40,4050.60,3923.70,3.46M,2.09%
2019-03-17,3981.50,4006.40,4009.80,3956.30,1.87M,-0.62%
2019-03-18,3990.20,3981.50,4032.30,3958.50,2.62M,0.22%
2019-03-19,4017.00,3990.20,4029.90,3972.40,2.99M,0.67%
2019-03-20,4041.20,4017.00,4050.00,3985.30,3.18M,0.60%
2019-03-21,3982.20,4041.20,4064.00,3923.80,3.88M,-1.46%
2019-03-22,3990.40,3982.20,4005.70,3971.80,2.83M,0.21%
2019-03-23,4002.50,3990.40,4018.20,3980.80,2.00M,0.30%
2019-03-24,3994.70,4002.60,4005.70,3967.00,2.04M,-0.20%
2019-03-25,3937.00,3994.80,4000.50,3897.90,2.86M,-1.44%
2019-03-26,3942.80,3937.10,3950.70,3899.90,2.53M,0.15%
2019-03-27,4041.70,3942.80,4043.30,3936.20,2.78M,2.51%
2019-03-28,4025.60,4041.70,4041.70,4008.40,2.11M,-0.40%
2019-03-29,4102.20,4025.70,4123.10,4022.60,3.30M,1.90%
2019-03-30,4111.80,4103.70,4138.10,4057.10,2.55M,0.23%
2019-03-31,4102.30,4111.80,4121.90,4082.20,2.43M,-0.23%
2019-04-01,4145.10,4102.30,4159.10,4076.80,3.22M,1.04%
2019-04-02,4859.30,4145.10,4899.60,4143.50,14.77M,17.23%
2019-04-03,4968.70,4859.30,5278.40,4814.00,13.83M,2.25%
2019-04-04,4902.40,4968.70,5042.50,4789.20,1.05M,-1.33%
2019-04-05,5010.20,4902.50,5029.40,4888.30,851.72K,2.20%
2019-04-06,5046.20,5010.00,5198.40,4947.90,952.18K,0.72%
2019-04-07,5173.60,5046.10,5219.50,5033.70,841.27K,2.53%
2019-04-08,5245.20,5173.50,5300.60,5060.50,928.23K,1.38%
2019-04-09,5158.40,5245.00,5245.90,5095.20,784.62K,-1.65%
2019-04-10,5307.80,5158.40,5404.10,5142.90,837.51K,2.89%
2019-04-11,5022.60,5307.70,5337.00,4948.00,943.49K,-5.37%
2019-04-12,5054.20,5022.70,5080.50,4889.20,779.14K,0.63%
2019-04-13,5051.80,5054.20,5093.40,5011.60,577.16K,-0.05%
2019-04-14,5134.80,5052.00,5153.50,5010.70,566.38K,1.64%
2019-04-15,5032.30,5135.10,5168.00,4964.20,688.20K,-2.00%
2019-04-16,5180.90,5031.40,5198.40,5014.40,631.05K,2.95%
2019-04-17,5208.30,5182.10,5230.90,5165.50,806.52K,0.53%
2019-04-18,5264.70,5208.30,5293.10,5205.00,727.97K,1.08%
2019-04-19,5241.00,5264.80,5282.40,5192.10,787.09K,-0.45%
2019-04-20,5290.20,5241.00,5327.00,5240.20,782.32K,0.94%
2019-04-21,5243.50,5290.20,5308.20,5189.80,811.41K,-0.88%
2019-04-22,5346.70,5248.20,5370.20,5170.20,920.77K,1.97%
2019-04-23,5511.60,5346.50,5594.40,5291.40,900.00K,3.08%
2019-04-24,5415.60,5511.20,5589.60,5346.80,994.04K,-1.74%
2019-04-25,5209.10,5415.60,5528.20,5137.40,955.36K,-3.81%
2019-04-26,5298.30,5209.20,5469.30,5159.30,1.03M,1.71%
2019-04-27,5265.90,5298.20,5318.10,5225.40,833.13K,-0.61%
2019-04-28,5302.30,5265.70,5332.50,5234.40,681.41K,0.69%
2019-04-29,5235.00,5302.40,5322.90,5188.90,775.82K,-1.27%
2019-04-30,5320.80,5235.40,5336.60,5195.90,697.42K,1.64%
2019-05-01,5384.20,5321.10,5396.30,5319.50,623.64K,1.19%
2019-05-02,5493.80,5384.60,5530.80,5370.00,722.23K,2.04%
2019-05-03,5766.80,5493.60,5844.20,5478.70,1.04M,4.97%
2019-05-04,5830.90,5768.00,5899.20,5605.00,920.61K,1.11%
2019-05-05,5774.90,5830.80,5838.20,5708.20,709.02K,-0.96%
2019-05-06,5745.10,5775.10,5801.40,5630.50,755.39K,-0.52%
2019-05-07,5849.50,5745.50,6019.80,5745.50,955.88K,1.82%
2019-05-08,5990.30,5849.40,6011.30,5799.10,757.13K,2.41%
2019-05-09,6191.50,5990.50,6206.00,5990.00,799.96K,3.36%
2019-05-10,6386.00,6194.30,6466.60,6157.80,907.94K,3.14%
2019-05-11,7190.30,6386.60,7373.80,6386.50,1.31M,12.59%
2019-05-12,6984.80,7190.00,7518.90,6802.60,1.35M,-2.86%
2019-05-13,7806.00,6984.70,8058.30,6893.10,1.20M,11.76%
2019-05-14,7994.60,7806.40,8323.90,7674.00,1.33M,2.42%
2019-05-15,8164.60,7994.80,8225.30,7856.50,1.13M,2.13%
2019-05-16,7871.80,8164.80,8293.30,7720.40,1.18M,-3.59%
2019-05-17,7359.50,7871.90,7924.00,6998.60,1.43M,-6.51%
2019-05-18,7262.60,7359.90,7458.50,7189.40,865.53K,-1.32%
2019-05-19,8157.20,7261.90,8253.40,7252.30,1.08M,12.32%
2019-05-20,7965.30,8156.40,8156.40,7604.00,958.81K,-2.35%
2019-05-21,7930.30,7965.00,8056.80,7813.20,804.88K,-0.44%
2019-05-22,7635.70,7928.70,7999.00,7545.90,821.40K,-3.72%
2019-05-23,7852.10,7637.20,7939.10,7486.80,815.14K,2.83%
2019-05-24,7970.10,7852.80,8124.10,7775.40,868.47K,1.50%
2019-05-25,8027.40,7971.40,8090.10,7919.10,691.27K,0.72%
2019-05-26,8630.20,8029.60,8718.60,7866.50,872.12K,7.51%
2019-05-27,8760.10,8628.90,8902.80,8607.30,907.96K,1.51%
2019-05-28,8716.30,8759.40,8794.10,8568.80,763.20K,-0.50%
2019-05-29,8647.80,8715.60,8747.20,8435.30,15.43M,-0.79%
2019-05-30,8271.90,8647.80,9045.90,8054.70,1.04M,-4.35%
2019-05-31,8558.30,8271.40,8578.80,8135.00,858.41K,3.46%
2019-06-01,8545.70,8556.90,8615.80,8454.00,686.75K,-0.15%
2019-06-02,8728.60,8545.80,8807.70,8534.80,614.54K,2.14%
2019-06-03,8124.80,8728.60,8734.90,8102.70,739.45K,-6.92%
2019-06-04,7685.50,8118.10,8118.10,7494.00,966.95K,-5.41%
2019-06-05,7779.10,7685.60,7885.00,7590.40,762.94K,1.22%
2019-06-06,7784.90,7779.60,7861.40,7480.40,651.82K,0.08%
2019-06-07,7985.20,7785.80,8099.40,7749.40,588.87K,2.57%
2019-06-08,7901.40,7985.30,8044.40,7770.50,485.81K,-1.05%
2019-06-09,7635.00,7901.60,7937.50,7516.90,554.48K,-3.37%
2019-06-10,7987.80,7635.00,8012.80,7523.60,641.38K,4.62%
2019-06-11,7888.00,7987.80,8010.40,7714.50,579.00K,-1.25%
2019-06-12,8133.10,7888.00,8198.10,7805.80,607.89K,3.11%
2019-06-13,8219.00,8132.40,8306.10,8028.60,574.21K,1.06%
2019-06-14,8656.10,8218.60,8685.30,8153.20,643.17K,5.32%
2019-06-15,8812.50,8655.80,8856.70,8582.30,608.69K,1.81%
2019-06-16,8962.50,8812.20,9332.00,8771.10,849.77K,1.70%
2019-06-17,9318.80,8961.00,9438.10,8959.80,738.80K,3.98%
2019-06-18,9080.60,9318.90,9336.10,8962.70,723.17K,-2.56%
2019-06-19,9255.40,9080.70,9295.10,9044.00,587.57K,1.93%
2019-06-20,9517.00,9255.00,9583.90,9188.40,693.62K,2.83%
2019-06-21,10179.30,9517.70,10184.30,9517.40,769.12K,6.96%
2019-06-22,10721.70,10178.10,11160.50,10031.30,1.09M,5.33%
2019-06-23,10897.10,10721.50,11361.30,10557.80,683.79K,1.64%
2019-06-24,11046.40,10897.30,11114.40,10622.60,566.96K,1.37%
2019-06-25,11809.90,11046.60,11833.90,11033.70,781.09K,6.91%
2019-06-26,13063.80,11811.60,13929.80,11747.30,1.48M,10.62%
2019-06-27,11287.80,13062.40,13422.00,10493.50,1.59M,-13.59%
2019-06-28,12409.10,11288.40,12461.80,10970.50,1.09M,9.93%
2019-06-29,11906.50,12408.00,12422.90,11490.80,834.62K,-4.05%
2019-06-30,10818.60,11906.00,12179.30,10765.40,880.77K,-9.14%
2019-07-01,10616.60,10821.40,11254.50,10041.60,1.04M,-1.87%
2019-07-02,10835.90,10615.50,10923.50,9728.50,1.12M,2.07%
2019-07-03,11900.80,10835.90,11931.80,10835.90,998.73K,9.83%
2019-07-04,11163.10,11899.30,11948.00,11087.10,840.34K,-6.20%
2019-07-05,10970.20,11159.70,11381.80,10810.30,772.67K,-1.73%
2019-07-06,11268.00,10969.80,11650.20,10967.90,688.96K,2.71%
2019-07-07,11415.90,11267.90,11524.60,11108.10,601.93K,1.31%
2019-07-08,12252.60,11415.80,12332.30,11304.80,695.60K,7.33%
2019-07-09,12541.50,12250.60,12772.90,12111.20,847.84K,2.36%
2019-07-10,12110.60,12542.80,13134.40,11594.90,1.11M,-3.44%
2019-07-11,11342.30,12111.60,12111.60,11029.00,943.13K,-6.34%
2019-07-12,11762.10,11343.70,11881.40,11109.80,738.17K,3.70%
2019-07-13,11364.90,11762.80,11798.40,10839.40,747.71K,-3.38%
2019-07-14,10200.10,11364.30,11448.70,10128.90,840.76K,-10.25%
2019-07-15,10845.90,10199.90,11064.70,9885.40,956.52K,6.33%
2019-07-16,9424.80,10844.00,11019.50,9375.30,1.05M,-13.10%
2019-07-17,9723.20,9425.10,9983.60,9082.60,1.03M,3.17%
2019-07-18,10651.40,9723.10,10787.10,9390.00,974.49K,9.55%
2019-07-19,10571.50,10651.60,10758.40,10160.70,727.79K,-0.75%
2019-07-20,10826.70,10571.90,11155.60,10462.00,668.94K,2.41%
2019-07-21,10714.40,10827.00,10883.80,10442.50,562.17K,-1.04%
2019-07-22,10412.50,10715.10,10806.30,10196.50,591.27K,-2.82%
2019-07-23,9888.70,10412.80,10414.70,9865.40,663.38K,-5.03%
2019-07-24,9804.30,9887.20,9945.30,9584.00,639.54K,-0.85%
2019-07-25,9945.30,9804.70,10203.50,9776.60,545.85K,1.44%
2019-07-26,9831.00,9945.20,10436.10,9724.20,493.75K,-1.15%
2019-07-27,9492.10,9830.40,10232.30,9389.10,661.89K,-3.45%
2019-07-28,9727.80,9491.10,9798.50,9401.10,518.59K,2.48%
2019-07-29,9580.90,9728.50,9835.40,9502.50,510.90K,-1.51%
2019-07-30,9580.70,9580.00,9703.00,9483.00,511.51K,0.00%
2019-07-31,10082.00,9580.30,10100.00,9562.40,589.84K,5.23%
2019-08-01,10380.00,10081.90,10459.00,9890.60,608.37K,2.96%
2019-08-02,10520.10,10380.50,10664.80,10330.50,578.29K,1.35%
2019-08-03,10815.70,10519.90,10893.60,10504.50,508.75K,2.81%
2019-08-04,10934.60,10816.10,11017.70,10568.80,585.71K,1.10%
2019-08-05,11816.80,10934.80,11922.30,10934.80,769.63K,8.07%
2019-08-06,11480.90,11817.60,12291.90,11237.00,807.58K,-2.84%
2019-08-07,12013.90,11481.00,12114.50,11406.40,702.85K,4.64%
2019-08-08,12191.60,12015.90,12236.60,11727.00,592.15K,1.48%
2019-08-09,12089.80,12190.00,12225.30,11885.00,558.72K,-0.84%
2019-08-10,11314.50,12090.50,12185.00,11281.60,570.74K,-6.41%
2019-08-11,11517.20,11314.60,11728.40,11146.10,435.83K,1.79%
2019-08-12,11394.20,11505.10,11508.60,11267.30,391.08K,-1.07%
2019-08-13,10892.90,11395.00,11445.60,10793.20,540.78K,-4.40%
2019-08-14,10049.40,10894.20,10894.50,9965.50,745.59K,-7.74%
2019-08-15,10303.40,10053.30,10448.20,9580.10,930.05K,2.53%
2019-08-16,10335.60,10300.90,10734.00,9788.60,798.67K,0.31%
2019-08-17,10218.10,10335.50,10460.70,10016.30,497.77K,-1.14%
2019-08-18,10312.70,10219.30,10494.90,10086.70,441.11K,0.93%
2019-08-19,10910.70,10312.80,10923.90,10267.80,519.01K,5.80%
2019-08-20,10752.60,10911.20,10941.60,10581.00,515.47K,-1.45%
2019-08-21,10141.50,10753.30,10797.80,9908.00,717.65K,-5.68%
2019-08-22,10105.00,10141.10,10218.20,9777.00,520.75K,-0.36%
2019-08-23,10388.70,10104.90,10434.30,9921.40,436.26K,2.81%
2019-08-24,10131.00,10389.40,10415.90,9917.50,463.85K,-2.48%
2019-08-25,10136.30,10132.10,10307.00,9935.20,422.53K,0.05%
2019-08-26,10371.80,10136.00,10568.20,10136.00,568.77K,2.32%
2019-08-27,10184.80,10372.20,10387.60,10060.20,419.81K,-1.80%
